"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_MITOTIC_CELL_CYCLE",1,1.20124027949337e-19,5.75754465961174e-16,1,1,"Up",100
"GO_CELL_CYCLE",2,3.86373172709437e-17,9.25943308398166e-14,1,1,"Up",85.5224314985361
"GO_CELL_CYCLE_PROCESS",3,1.14957168158601e-16,1.83663235661392e-13,1,1,"Up",83.5707092844294
"GO_SINGLE_ORGANISM_CATABOLIC_PROCESS",4,1.00701258949767e-13,1.20665283536559e-10,1,1,"Up",65.0824941799188
"GO_REGULATION_OF_CELL_CYCLE",5,1.19985278955083e-12,9.58482403386191e-10,1,1,"Up",59.1768785542253
"GO_CATABOLIC_PROCESS",6,1.07452866205136e-12,9.58482403386191e-10,1,1,"Up",59.1768785542253
"GO_LYSOSOMAL_LUMEN",7,1.78305696051682e-12,1.22088457310816e-09,1,1,"Up",58.487297855874
"GO_ENZYME_BINDING",8,3.93922336789923e-12,2.36008720029263e-09,1,1,"Up",56.6089651720489
"GO_MITOTIC_NUCLEAR_DIVISION",9,8.85847063793809e-12,4.7176277519597e-09,1,1,"Up",54.6352098961595
"GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",10,1.40854263751781e-11,6.69955443248387e-09,1,1,"Up",53.6357044995729
"GO_CELL_PROJECTION",11,1.53755682781812e-11,6.69955443248387e-09,1,1,"Up",53.6357044995729
"GO_RESPONSE_TO_ENDOGENOUS_STIMULUS",12,6.01752987819437e-11,2.26172370392147e-08,1,1,"Up",50.1685007079085
"GO_REGULATION_OF_CELL_CYCLE_PROCESS",13,6.13444776778199e-11,2.26172370392147e-08,1,1,"Up",50.1685007079085
"GO_REGULATION_OF_ORGANELLE_ORGANIZATION",14,8.44081675430753e-11,2.88977390738543e-08,1,1,"Up",49.4701675519528
"GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL",15,1.41026686836487e-10,4.50627273338188e-08,1,1,"Up",48.2040480485001
"GO_CELL_CYCLE_G1_S_PHASE_TRANSITION",16,2.00042008954995e-10,5.64000793483113e-08,1,1,"Up",47.5645220664297
"GO_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",17,2.00042008954995e-10,5.64000793483113e-08,1,1,"Up",47.5645220664297
"GO_SISTER_CHROMATID_SEGREGATION",18,2.84999565937457e-10,7.58890510854573e-08,1,1,"Up",46.7187122586494
"GO_CHROMOSOME_SEGREGATION",19,3.54554897094855e-10,8.94411379881915e-08,1,1,"Up",46.2504753492755
"GO_VACUOLAR_LUMEN",20,5.1324098070195e-10,1.22998201025222e-07,1,1,"Up",45.3425777257898
"GO_TISSUE_DEVELOPMENT",21,6.27368050042539e-10,1.43189288754947e-07,1,1,"Up",44.9094228679333
"GO_NUCLEAR_CHROMOSOME_SEGREGATION",22,7.01149048389718e-10,1.49706741433808e-07,1,1,"Up",44.7825782051283
"GO_VACUOLE",23,7.18392458372124e-10,1.49706741433808e-07,1,1,"Up",44.7825782051283
"GO_POSITIVE_REGULATION_OF_CELL_CYCLE",24,9.78067699053052e-10,1.95328270065053e-07,1,1,"Up",44.0245365698704
"GO_PROTEIN_LOCALIZATION",25,1.07464989234143e-09,2.060318773597e-07,1,1,"Up",43.8725045692126
"GO_VACUOLAR_PART",26,1.64064605961199e-09,3.02446790912319e-07,1,1,"Up",42.7785599689362
"GO_ION_TRANSPORT",27,1.89475447387876e-09,3.24341364046461e-07,1,1,"Up",42.5793878515702
"GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS",28,1.87074031784925e-09,3.24341364046461e-07,1,1,"Up",42.5793878515702
"GO_TRANSMEMBRANE_TRANSPORT",29,2.87327920553641e-09,4.74883697659862e-07,1,1,"Up",41.4928556956894
"GO_CELL_CYCLE_PHASE_TRANSITION",30,3.08524215438674e-09,4.88899504456321e-07,1,1,"Up",41.4099650599297
"GO_REGULATION_OF_CELL_DIVISION",31,3.16208734365657e-09,4.88899504456321e-07,1,1,"Up",41.4099650599297
"GO_TRANSPORTER_ACTIVITY",32,3.6088939114627e-09,5.40544641176272e-07,1,1,"Up",41.1237928271078
"GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",33,3.92894602559768e-09,5.70649645475445e-07,1,1,"Up",40.9693416977928
"GO_DNA_DEPENDENT_DNA_REPLICATION",34,6.1891755590552e-09,8.72491719251518e-07,1,1,"Up",39.759403158577
"GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION",35,6.52707637849178e-09,8.93836488060318e-07,1,1,"Up",39.6905256713659
"GO_NEURON_PART",36,7.10027478978434e-09,9.45322696317677e-07,1,1,"Up",39.530929973341
"GO_CYTOSKELETON_ORGANIZATION",37,7.58731997210856e-09,9.61638156223623e-07,1,1,"Up",39.4821654208897
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE",38,7.62408719726636e-09,9.61638156223623e-07,1,1,"Up",39.4821654208897
"GO_GOLGI_APPARATUS",39,7.95622739547764e-09,9.77799946321137e-07,1,1,"Up",39.434669130146
"GO_MICROTUBULE",40,8.33727415500051e-09,9.99013875622937e-07,1,1,"Up",39.3735034057874
"GO_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",41,8.66815235298114e-09,1.0133281518985e-06,1,1,"Up",39.3329608591034
"GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS",42,9.63619344147158e-09,1.09967321821365e-06,1,1,"Up",39.0999287525657
"GO_SMALL_MOLECULE_METABOLIC_PROCESS",43,1.04853458008033e-08,1.14218778234659e-06,1,1,"Up",38.9918308613283
"GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND",44,1.03192500344677e-08,1.14218778234659e-06,1,1,"Up",38.9918308613283
"GO_DNA_REPLICATION",45,1.14853467302193e-08,1.22331704173202e-06,1,1,"Up",38.7962798142883
"GO_CELLULAR_CATABOLIC_PROCESS",46,1.18548634773665e-08,1.23522523145691e-06,1,1,"Up",38.7686735549008
"GO_ORGANELLE_FISSION",47,1.33352268174029e-08,1.34521503083665e-06,1,1,"Up",38.5255886866741
"GO_ADENYL_NUCLEOTIDE_BINDING",48,1.34717966785226e-08,1.34521503083665e-06,1,1,"Up",38.5255886866741
"GO_RESPONSE_TO_NITROGEN_COMPOUND",49,1.39827536578149e-08,1.36774159758993e-06,1,1,"Up",38.4782628566493
"GO_GOLGI_APPARATUS_PART",50,1.63741503081609e-08,1.56962604854031e-06,1,1,"Up",38.0859198579646
"GO_CELL_DIVISION",51,1.76368690213197e-08,1.60207503073401e-06,1,1,"Up",38.0276075695859
"GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",52,1.72720944700053e-08,1.60207503073401e-06,1,1,"Up",38.0276075695859
"GO_CELLULAR_RESPONSE_TO_STRESS",53,1.77154134422914e-08,1.60207503073401e-06,1,1,"Up",38.0276075695859
"GO_NEURON_PROJECTION",54,2.4464955256295e-08,2.17149130635966e-06,1,1,"Up",37.1609586198658
"GO_MICROTUBULE_BASED_PROCESS",55,2.51469706963452e-08,2.18109332161241e-06,1,1,"Up",37.1483852417869
"GO_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION",56,2.54832518277268e-08,2.18109332161241e-06,1,1,"Up",37.1483852417869
"GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT",57,3.25579969840101e-08,2.69052550938553e-06,1,1,"Up",36.5501943909989
"GO_CIRCULATORY_SYSTEM_DEVELOPMENT",58,3.25579969840101e-08,2.69052550938553e-06,1,1,"Up",36.5501943909989
"GO_RIBONUCLEOTIDE_BINDING",59,4.2729064716304e-08,3.4711933421228e-06,1,1,"Up",35.8241877438635
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS",60,5.59590953887265e-08,4.47019906996944e-06,1,1,"Up",35.1033887261483
"GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",61,6.12650681365714e-08,4.81382740292765e-06,1,1,"Up",34.8923378611362
"GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS",62,6.39787915631233e-08,4.94597335422661e-06,1,1,"Up",34.8151630537767
"GO_REGULATION_OF_MITOTIC_CELL_CYCLE",63,7.88845413351861e-08,6.00148581935789e-06,1,1,"Up",34.2639273575827
"GO_INTRACELLULAR_VESICLE",64,8.76209949043612e-08,6.56199107150942e-06,1,1,"Up",34.0094821167046
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS",65,9.09362608050964e-08,6.70549996982811e-06,1,1,"Up",33.9478306989318
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE",66,1.06266459087568e-07,7.71719906676842e-06,1,1,"Up",33.5473747372406
"GO_REGULATION_OF_CELL_DIFFERENTIATION",67,1.21370589290618e-07,8.68252588761096e-06,1,1,"Up",33.2115008472449
"GO_RESPONSE_TO_METAL_ION",68,1.45770903066657e-07,1.01172310703288e-05,1,1,"Up",32.7756962773806
"GO_REGULATION_OF_CELL_PROLIFERATION",69,1.44353662123554e-07,1.01172310703288e-05,1,1,"Up",32.7756962773806
"GO_LYTIC_VACUOLE",70,1.47758434158777e-07,1.01172310703288e-05,1,1,"Up",32.7756962773806
"GO_ORGANIC_ACID_METABOLIC_PROCESS",71,1.52778396943567e-07,1.03136176978946e-05,1,1,"Up",32.720909597558
"GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",72,1.88349851931512e-07,1.25383450042741e-05,1,1,"Up",32.1642789703606
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_DISASSEMBLY",73,1.91713995281624e-07,1.2587468210751e-05,1,1,"Up",32.1531359419835
"GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES",74,2.15746091796327e-07,1.39739326754026e-05,1,1,"Up",31.8553605715816
"GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS",75,2.93140776865569e-07,1.87336499135556e-05,1,1,"Up",31.0200210971712
"GO_ENDOPLASMIC_RETICULUM",76,2.98795798637163e-07,1.88437929324726e-05,1,1,"Up",31.0033153040287
"GO_AMINOGLYCAN_METABOLIC_PROCESS",77,3.44563119841141e-07,2.1447935498683e-05,1,1,"Up",30.6344304809672
"GO_NEUROGENESIS",78,3.52405437288221e-07,2.16548623195185e-05,1,1,"Up",30.6070682966905
"GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND",79,3.63294172574116e-07,2.20413793563005e-05,1,1,"Up",30.5566518786766
"GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",80,4.32285917891432e-07,2.52853964595646e-05,1,1,"Up",30.1653662699997
"GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS",81,4.4314068487449e-07,2.52853964595646e-05,1,1,"Up",30.1653662699997
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION",82,4.3667672344718e-07,2.52853964595646e-05,1,1,"Up",30.1653662699997
"GO_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS",83,4.4314068487449e-07,2.52853964595646e-05,1,1,"Up",30.1653662699997
"GO_SPINDLE",84,4.31554067365579e-07,2.52853964595646e-05,1,1,"Up",30.1653662699997
"GO_UROGENITAL_SYSTEM_DEVELOPMENT",85,4.70741748952352e-07,2.62356418921933e-05,1,1,"Up",30.060233879605
"GO_SPINDLE_MICROTUBULE",86,4.7060140290928e-07,2.62356418921933e-05,1,1,"Up",30.060233879605
"GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",87,5.1752092368877e-07,2.85112389337962e-05,1,1,"Up",29.8231934735152
"GO_SMALL_MOLECULE_CATABOLIC_PROCESS",88,5.30965090298649e-07,2.89194963386526e-05,1,1,"Up",29.7826768624449
"GO_REGULATION_OF_TRANSFERASE_ACTIVITY",89,5.63601137922112e-07,3.03521376860751e-05,1,1,"Up",29.6448888991789
"GO_CELLULAR_MACROMOLECULE_LOCALIZATION",90,6.20946188819129e-07,3.30688342556676e-05,1,1,"Up",29.4005963695186
"GO_REGULATION_OF_KINASE_ACTIVITY",91,6.38219857243015e-07,3.32498671278888e-05,1,1,"Up",29.3850381960338
"GO_RESPONSE_TO_HORMONE",92,6.35989550869979e-07,3.32498671278888e-05,1,1,"Up",29.3850381960338
"GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT",93,6.78565353997342e-07,3.49716531366587e-05,1,1,"Up",29.2411629366172
"GO_REGULATION_OF_NUCLEAR_DIVISION",94,7.1088424655747e-07,3.62475339760633e-05,1,1,"Up",29.1390464948666
"GO_CELL_PROLIFERATION",95,7.38331714210675e-07,3.72507779601239e-05,1,1,"Up",29.0612442233102
"GO_ION_TRANSMEMBRANE_TRANSPORT",96,8.10849087628134e-07,4.04833299687672e-05,1,1,"Up",28.8240956409029
"GO_CELL_DEVELOPMENT",97,8.91007875361862e-07,4.40268118207155e-05,1,1,"Up",28.5849776847385
"GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION",98,9.2679697295257e-07,4.53279376669558e-05,1,1,"Up",28.5019795250419
"GO_CELLULAR_LIPID_METABOLIC_PROCESS",99,1.08130930027649e-06,5.23506613760123e-05,1,1,"Up",28.0914992959047
"GO_MICROTUBULE_CYTOSKELETON",100,1.12552207810212e-06,5.39462732034348e-05,1,1,"Up",28.0059384180409
"GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",101,1.29943672620969e-06,6.1665348799238e-05,1,1,"Up",27.6248317953422
"GO_SOMATODENDRITIC_COMPARTMENT",102,1.31389191410847e-06,6.17400386698227e-05,1,1,"Up",27.6213822350282
"GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION",103,1.3275947394888e-06,6.17782678288332e-05,1,1,"Up",27.6196182311635
"GO_CELL_JUNCTION",104,1.34283648688392e-06,6.18866854003327e-05,1,1,"Up",27.6146214624048
"GO_MITOTIC_SPINDLE_ORGANIZATION",105,1.45583465217049e-06,6.64553855986014e-05,1,1,"Up",27.4116461270194
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES",106,1.47097629557807e-06,6.65131074028839e-05,1,1,"Up",27.4091719698682
"GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE",107,1.68406496249056e-06,7.54366669646471e-05,1,1,"Up",27.0504048762392
"GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION",108,1.71471711511264e-06,7.54984176956326e-05,1,1,"Up",27.0480730937997
"GO_MEMBRANE_REGION",109,1.71694711638305e-06,7.54984176956326e-05,1,1,"Up",27.0480730937997
"GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS",110,1.83353988410836e-06,7.98923333139216e-05,1,1,"Up",26.8868681196289
"GO_CHROMOSOME",111,1.86721202686845e-06,8.0626551754779e-05,1,1,"Up",26.8607982844655
"GO_LIPID_METABOLIC_PROCESS",112,1.92079991924773e-06,8.21999465442354e-05,1,1,"Up",26.8057223030104
"GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",113,2.12435101705208e-06,9.01063223427489e-05,1,1,"Up",26.5440139667935
"GO_CELL_BODY",114,2.35090731287131e-06,9.8841217110458e-05,1,1,"Up",26.2803430623987
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",115,2.48258054722555e-06,0.000103469639676974,1,1,"Up",26.1499286160829
"GO_MHC_CLASS_I_PROTEIN_COMPLEX",116,2.73726260919033e-06,0.000113100859360769,1,1,"Up",25.8962962670452
"GO_REGULATION_OF_PROTEIN_COMPLEX_DISASSEMBLY",117,2.84651382300696e-06,0.000116609750031388,1,1,"Up",25.8092282472067
"GO_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS",118,2.9324625564421e-06,0.000119112652822263,1,1,"Up",25.7487087170398
"GO_ATPASE_ACTIVITY",119,2.98635580154941e-06,0.000120282381149801,1,1,"Up",25.7208597283138
"GO_MOVEMENT_OF_CELL_OR_SUBCELLULAR_COMPONENT",120,3.46951398247475e-06,0.000138578170983346,1,1,"Up",25.3173573290695
"GO_LIPID_CATABOLIC_PROCESS",121,3.88281813257428e-06,0.000153804523218418,1,1,"Up",25.0202773568883
"GO_CELLULAR_LIPID_CATABOLIC_PROCESS",122,4.03503552497615e-06,0.000157235164806591,1,1,"Up",24.9574117293587
"GO_REGULATION_OF_TRANSPORT",123,4.00373342361101e-06,0.000157235164806591,1,1,"Up",24.9574117293587
"GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS",124,4.2519914603055e-06,0.000164353186042293,1,1,"Up",24.8312388510088
"GO_RESPONSE_TO_DRUG",125,4.31133027138878e-06,0.000165313647926132,1,1,"Up",24.8146337237328
"GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",126,4.42933274653791e-06,0.000168490411540922,1,1,"Up",24.7603908736416
"GO_SINGLE_ORGANISM_BIOSYNTHETIC_PROCESS",127,4.71643653980724e-06,0.000176608440119501,1,1,"Up",24.626292567545
"GO_CONDENSED_CHROMOSOME",128,4.69402481178788e-06,0.000176608440119501,1,1,"Up",24.626292567545
"GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION",129,4.8578021201292e-06,0.000180491826060304,1,1,"Up",24.5643094232082
"GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",130,4.98051315808188e-06,0.000183627688974511,1,1,"Up",24.5152231620471
"GO_CARBOXYLIC_ACID_CATABOLIC_PROCESS",131,5.34984072842111e-06,0.000194255959176685,1,1,"Up",24.3548782635361
"GO_ORGANIC_ACID_CATABOLIC_PROCESS",132,5.34984072842111e-06,0.000194255959176685,1,1,"Up",24.3548782635361
"GO_CELL_PROJECTION_PART",133,5.47253473889247e-06,0.000197216984988809,1,1,"Up",24.3117675881841
"GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY",134,6.14739160998313e-06,0.000217067066968908,1,1,"Up",24.0384718432987
"GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",135,6.07467588653321e-06,0.000217067066968908,1,1,"Up",24.0384718432987
"GO_IDENTICAL_PROTEIN_BINDING",136,6.15921575375996e-06,0.000217067066968908,1,1,"Up",24.0384718432987
"GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT",137,6.46679229686208e-06,0.000226243324663211,1,1,"Up",23.9204789554534
"GO_EXTRACELLULAR_SPACE",138,6.66912242213803e-06,0.000231631186734113,1,1,"Up",23.8534092884824
"GO_MOTOR_ACTIVITY",139,7.70925903289018e-06,0.00026583078089671,1,1,"Up",23.4609606916623
"GO_PHOSPHATE_CONTAINING_COMPOUND_METABOLIC_PROCESS",140,7.76534183801493e-06,0.000265852024497182,1,1,"Up",23.4607329661894
"GO_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",141,8.11849558282915e-06,0.000275971271833334,1,1,"Up",23.3542752507762
"GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS",142,8.54946431893727e-06,0.000288574524511735,1,1,"Up",23.2270153053274
"GO_VACUOLAR_MEMBRANE",143,9.2979529534429e-06,0.000311643975565397,1,1,"Up",23.0078468848424
"GO_RESPONSE_TO_ALCOHOL",144,9.4705929344382e-06,0.000315226055102516,1,1,"Up",22.9752783255917
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",145,1.01999589752787e-05,0.000337161402541453,1,1,"Up",22.7835709786066
"GO_ANION_TRANSPORT",146,1.09753905078505e-05,0.000360308539069367,1,1,"Up",22.5943508210594
"GO_RESPONSE_TO_STEROID_HORMONE",147,1.12286643307881e-05,0.000361201262667566,1,1,"Up",22.5872988405375
"GO_CONNECTIVE_TISSUE_DEVELOPMENT",148,1.12210557790562e-05,0.000361201262667566,1,1,"Up",22.5872988405375
"GO_CYTOSKELETAL_PROTEIN_BINDING",149,1.11041594479197e-05,0.000361201262667566,1,1,"Up",22.5872988405375
"GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY",150,1.1526790324849e-05,0.000368319373513343,1,1,"Up",22.5316857473888
"GO_CATION_TRANSPORT",151,1.16555963524349e-05,0.000369968697465037,1,1,"Up",22.5189531519584
"GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",152,1.20320219775272e-05,0.000377644419847502,1,1,"Up",22.4604345813748
"GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",153,1.20549960852635e-05,0.000377644419847502,1,1,"Up",22.4604345813748
"GO_BIOLOGICAL_ADHESION",154,1.21423137980529e-05,0.000377909805416022,1,1,"Up",22.45843265646
"GO_REGULATION_OF_CHROMOSOME_ORGANIZATION",155,1.23508914027033e-05,0.000381921435439722,1,1,"Up",22.4283411545011
"GO_METAL_ION_TRANSPORT",156,1.28765331408622e-05,0.000395623226565081,1,1,"Up",22.3278950586494
"GO_REGULATION_OF_CELL_DEATH",157,1.36947922558259e-05,0.000418083689695373,1,1,"Up",22.1705340480192
"GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION",158,1.44281205197235e-05,0.000437683428171106,1,1,"Up",22.0399750710746
"GO_RESPONSE_TO_ABIOTIC_STIMULUS",159,1.46060020483793e-05,0.000440292879357748,1,1,"Up",22.023035447231
"GO_HISTONE_ACETYLTRANSFERASE_BINDING",160,1.59300012987044e-05,0.000477203101404313,1,1,"Up",21.793625079213
"GO_KINETOCHORE",161,1.63257860618585e-05,0.000486021693133465,1,1,"Up",21.7414431873224
"GO_CYTOSKELETON",162,1.69484902276483e-05,0.000501445146056286,1,1,"Up",21.6524143882108
"GO_PROTEIN_COMPLEX_BIOGENESIS",163,1.76480689103645e-05,0.000512649662347739,1,1,"Up",21.5894393660462
"GO_PROTEIN_COMPLEX_ASSEMBLY",164,1.76480689103645e-05,0.000512649662347739,1,1,"Up",21.5894393660462
"GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION",165,1.76242049730412e-05,0.000512649662347739,1,1,"Up",21.5894393660462
"GO_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION",166,1.78353271267999e-05,0.000514968210353926,1,1,"Up",21.5765799489424
"GO_ORGANOPHOSPHATE_ESTER_TRANSPORT",167,1.80326012591409e-05,0.000517546454102171,1,1,"Up",21.5623479877688
"GO_CHROMOSOME_ORGANIZATION",168,1.85729810814544e-05,0.000529065314550635,1,1,"Up",21.4996176621506
"GO_RESPONSE_TO_ESTROGEN",169,1.8654712739215e-05,0.000529065314550635,1,1,"Up",21.4996176621506
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",170,1.92692076730437e-05,0.000543278308099403,1,1,"Up",21.4240713756251
"GO_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION",171,2.10195903691494e-05,0.000589163138241715,1,1,"Up",21.1930100225868
"GO_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS",172,2.15773005637804e-05,0.000601279079082555,1,1,"Up",21.1350004156243
"GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION",173,2.18206793029401e-05,0.000604546334676255,1,1,"Up",21.1195572672863
"GO_AMINOGLYCAN_CATABOLIC_PROCESS",174,2.2827436662821e-05,0.000628804045545408,1,1,"Up",21.0074444010562
"GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",175,2.47461196927946e-05,0.000677760866786083,1,1,"Up",20.7937851530981
"GO_GOLGI_MEMBRANE",176,2.52660705166155e-05,0.000688069749921239,1,1,"Up",20.7507662707942
"GO_TUBE_DEVELOPMENT",177,2.63343808407432e-05,0.000713111228077301,1,1,"Up",20.6488958559246
"GO_POSITIVE_REGULATION_OF_CELL_DIVISION",178,2.69653483620941e-05,0.00072609502640178,1,1,"Up",20.5974765028185
"GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION",179,2.7151596698857e-05,0.00072702571495878,1,1,"Up",20.593826116445
"GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",180,2.74482632245321e-05,0.00073088625352879,1,1,"Up",20.5787338761123
"GO_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION",181,2.87257965221487e-05,0.000760678136633473,1,1,"Up",20.4648794772321
"GO_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS",182,2.99813811874082e-05,0.000787737035218757,1,1,"Up",20.3652694602029
"GO_VESICLE_MEMBRANE",183,3.00763357907433e-05,0.000787737035218757,1,1,"Up",20.3652694602029
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING",184,3.06997802652347e-05,0.00079969590658299,1,1,"Up",20.322331725839
"GO_MICROTUBULE_MOTOR_ACTIVITY",185,3.10768458815848e-05,0.000805142282759114,1,1,"Up",20.3029891568723
"GO_DNA_STRAND_ELONGATION",186,3.18761392395238e-05,0.000821410405242137,1,1,"Up",20.24598324693
"GO_CILIUM_MOVEMENT",187,3.24869185566624e-05,0.000832672730706327,1,1,"Up",20.207175935669
"GO_MICROTUBULE_BASED_MOVEMENT",188,3.49669232639059e-05,0.000891470548956919,1,1,"Up",20.0127328943206
"GO_SYNAPSE",189,3.57658916035995e-05,0.000907015441566416,1,1,"Up",19.9634691310075
"GO_RESPONSE_TO_LIPID",190,3.61011858801548e-05,0.000910699915387274,1,1,"Up",19.9519163565093
